sample_id,source_platform,effect,filter_name,category,class_label,input_variant,input_image,sample_dir,video_path,render_json,params_json,pipeline_json,source_code_dir,shader_dir,shader_program_count,fbo_allocation_count,animated_param,duration_ms,fps,frames,max_effect_signal,max_temporal_change,quality_warnings
DeepGlow__cross_lines,kuaiying_plugin_library,DeepGlow,DeepGlow,glow_bloom,threshold_gaussian_glow,cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__cross_lines/input.png,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__cross_lines/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__cross_lines/final.json,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__cross_lines/params.json,datasets/effect_training/kuaiying_multi_pass/effects/DeepGlow/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/DeepGlow/source,datasets/effect_training/kuaiying_multi_pass/effects/DeepGlow/shaders,3,4,Radius,5000,25,125,26.163,26.028,
DeepGlow__gray_ramp,kuaiying_plugin_library,DeepGlow,DeepGlow,glow_bloom,threshold_gaussian_glow,gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__gray_ramp/input.png,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__gray_ramp/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__gray_ramp/final.json,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__gray_ramp/params.json,datasets/effect_training/kuaiying_multi_pass/effects/DeepGlow/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/DeepGlow/source,datasets/effect_training/kuaiying_multi_pass/effects/DeepGlow/shaders,3,4,Radius,5000,25,125,87.757,88.958,
DeepGlow__model,kuaiying_plugin_library,DeepGlow,DeepGlow,glow_bloom,threshold_gaussian_glow,model,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__model/input.png,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__model,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__model/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__model/final.json,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__model/params.json,datasets/effect_training/kuaiying_multi_pass/effects/DeepGlow/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/DeepGlow/source,datasets/effect_training/kuaiying_multi_pass/effects/DeepGlow/shaders,3,4,Radius,5000,25,125,54.977,56.093,
DeepGlow__ring_mask,kuaiying_plugin_library,DeepGlow,DeepGlow,glow_bloom,threshold_gaussian_glow,ring_mask,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__ring_mask/input.png,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__ring_mask,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__ring_mask/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__ring_mask/final.json,datasets/effect_training/kuaiying_multi_pass/samples/DeepGlow__ring_mask/params.json,datasets/effect_training/kuaiying_multi_pass/effects/DeepGlow/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/DeepGlow/source,datasets/effect_training/kuaiying_multi_pass/effects/DeepGlow/shaders,3,4,Radius,5000,25,125,10.115,10.131,
HallucinationEffect__color_gradient,kuaiying_plugin_library,HallucinationEffect,HallucinationEffect,color_distortion,hallucination_multi_stage,color_gradient,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__color_gradient/input.png,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__color_gradient,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__color_gradient/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__color_gradient/final.json,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__color_gradient/params.json,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/source,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/shaders,9,5,Progress,5000,25,125,85.0,84.058,
HallucinationEffect__cross_lines,kuaiying_plugin_library,HallucinationEffect,HallucinationEffect,color_distortion,hallucination_multi_stage,cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__cross_lines/input.png,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__cross_lines/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__cross_lines/final.json,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__cross_lines/params.json,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/source,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/shaders,9,5,Progress,5000,25,125,13.554,14.858,
HallucinationEffect__gray_ramp,kuaiying_plugin_library,HallucinationEffect,HallucinationEffect,color_distortion,hallucination_multi_stage,gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__gray_ramp/input.png,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__gray_ramp/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__gray_ramp/final.json,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__gray_ramp/params.json,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/source,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/shaders,9,5,Progress,5000,25,125,132.5,131.875,
HallucinationEffect__model,kuaiying_plugin_library,HallucinationEffect,HallucinationEffect,color_distortion,hallucination_multi_stage,model,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__model/input.png,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__model,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__model/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__model/final.json,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__model/params.json,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/source,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/shaders,9,5,Progress,5000,25,125,186.329,185.548,
HallucinationEffect__rg_split,kuaiying_plugin_library,HallucinationEffect,HallucinationEffect,color_distortion,hallucination_multi_stage,rg_split,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__rg_split/input.png,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__rg_split,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__rg_split/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__rg_split/final.json,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__rg_split/params.json,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/source,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/shaders,9,5,Progress,5000,25,125,85.0,84.695,
HallucinationEffect__ring_mask,kuaiying_plugin_library,HallucinationEffect,HallucinationEffect,color_distortion,hallucination_multi_stage,ring_mask,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__ring_mask/input.png,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__ring_mask,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__ring_mask/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__ring_mask/final.json,datasets/effect_training/kuaiying_multi_pass/samples/HallucinationEffect__ring_mask/params.json,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/source,datasets/effect_training/kuaiying_multi_pass/effects/HallucinationEffect/shaders,9,5,Progress,5000,25,125,20.169,20.636,
HazySoftLight__color_gradient,kuaiying_plugin_library,HazySoftLight,HazySoftLight,glow_bloom,hazy_soft_light,color_gradient,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__color_gradient/input.png,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__color_gradient,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__color_gradient/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__color_gradient/final.json,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__color_gradient/params.json,datasets/effect_training/kuaiying_multi_pass/effects/HazySoftLight/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/HazySoftLight/source,datasets/effect_training/kuaiying_multi_pass/effects/HazySoftLight/shaders,7,5,LightIntensity,5000,25,125,19.592,20.2,
HazySoftLight__cross_lines,kuaiying_plugin_library,HazySoftLight,HazySoftLight,glow_bloom,hazy_soft_light,cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__cross_lines/input.png,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__cross_lines/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__cross_lines/final.json,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__cross_lines/params.json,datasets/effect_training/kuaiying_multi_pass/effects/HazySoftLight/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/HazySoftLight/source,datasets/effect_training/kuaiying_multi_pass/effects/HazySoftLight/shaders,7,5,LightIntensity,5000,25,125,3.515,2.433,
HazySoftLight__gray_ramp,kuaiying_plugin_library,HazySoftLight,HazySoftLight,glow_bloom,hazy_soft_light,gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__gray_ramp/input.png,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__gray_ramp/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__gray_ramp/final.json,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__gray_ramp/params.json,datasets/effect_training/kuaiying_multi_pass/effects/HazySoftLight/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/HazySoftLight/source,datasets/effect_training/kuaiying_multi_pass/effects/HazySoftLight/shaders,7,5,LightIntensity,5000,25,125,7.5,5.16,
HazySoftLight__model,kuaiying_plugin_library,HazySoftLight,HazySoftLight,glow_bloom,hazy_soft_light,model,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__model/input.png,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__model,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__model/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__model/final.json,datasets/effect_training/kuaiying_multi_pass/samples/HazySoftLight__model/params.json,datasets/effect_training/kuaiying_multi_pass/effects/HazySoftLight/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/HazySoftLight/source,datasets/effect_training/kuaiying_multi_pass/effects/HazySoftLight/shaders,7,5,LightIntensity,5000,25,125,10.819,10.534,
MosaicBlur__color_gradient,kuaiying_plugin_library,MosaicBlur,MosaicBlur,pixel_mosaic,iterative_mosaic_blur,color_gradient,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__color_gradient/input.png,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__color_gradient,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__color_gradient/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__color_gradient/final.json,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__color_gradient/params.json,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/source,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/shaders,0,2,intensity,5000,25,125,3.671,3.208,
MosaicBlur__cross_lines,kuaiying_plugin_library,MosaicBlur,MosaicBlur,pixel_mosaic,iterative_mosaic_blur,cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__cross_lines/input.png,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__cross_lines/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__cross_lines/final.json,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__cross_lines/params.json,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/source,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/shaders,0,2,intensity,5000,25,125,23.163,18.512,
MosaicBlur__gray_ramp,kuaiying_plugin_library,MosaicBlur,MosaicBlur,pixel_mosaic,iterative_mosaic_blur,gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__gray_ramp/input.png,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__gray_ramp/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__gray_ramp/final.json,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__gray_ramp/params.json,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/source,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/shaders,0,2,intensity,5000,25,125,113.075,92.344,
MosaicBlur__model,kuaiying_plugin_library,MosaicBlur,MosaicBlur,pixel_mosaic,iterative_mosaic_blur,model,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__model/input.png,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__model,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__model/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__model/final.json,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__model/params.json,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/source,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/shaders,3,2,intensity,5000,25,125,20.826,18.949,
MosaicBlur__rg_split,kuaiying_plugin_library,MosaicBlur,MosaicBlur,pixel_mosaic,iterative_mosaic_blur,rg_split,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__rg_split/input.png,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__rg_split,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__rg_split/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__rg_split/final.json,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__rg_split/params.json,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/source,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/shaders,0,2,intensity,5000,25,125,6.512,5.992,
MosaicBlur__ring_mask,kuaiying_plugin_library,MosaicBlur,MosaicBlur,pixel_mosaic,iterative_mosaic_blur,ring_mask,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__ring_mask/input.png,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__ring_mask,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__ring_mask/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__ring_mask/final.json,datasets/effect_training/kuaiying_multi_pass/samples/MosaicBlur__ring_mask/params.json,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/source,datasets/effect_training/kuaiying_multi_pass/effects/MosaicBlur/shaders,0,2,intensity,5000,25,125,21.3,19.493,
RainbowDrop__color_gradient,kuaiying_plugin_library,RainbowDrop,RainbowDrop,color_distortion,rainbow_drop_blur,color_gradient,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__color_gradient/input.png,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__color_gradient,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__color_gradient/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__color_gradient/final.json,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__color_gradient/params.json,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/source,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/shaders,8,4,Color,5000,25,125,58.855,53.326,
